generation,id,fitness
10,a982fa9a-2201-444f-a3fe-2b76580e3f69,-0.10067624958654535
10,6ae2eb83-f2b9-4b81-906d-acf9a5c8c2a5,-inf
10,11d2d8aa-afda-44d3-b964-2f82f7f97106,-inf
10,8adebd47-4e1a-4567-848d-5a8878c14486,-0.027757351718667812
10,85c8e91b-402d-4e77-bce7-1d43cad29e97,-inf
10,18384fba-5684-4be8-8322-be53e214dbe1,-0.032984134996725166
11,c019af0d-e8ee-4438-8e25-eec4f749df45,-0.2756805676368212
11,7f6cd3a5-b6f8-43d3-84a0-11d9f6083add,-inf
11,2d10aa9f-1d77-410b-b731-c65346e8b812,-inf
11,d6157163-4ead-4272-9699-02e9b2ac0da2,-inf
11,ef7d2cd5-ffb0-466c-a9fb-018b815bec81,-0.03370972352545176
11,66126545-aabe-4ba2-9a3a-1fd5dc08579d,-0.031491397844833235
11,49b63f5c-4f92-47f6-82e8-bbd3b5b0f82b,-inf
11,e144ab02-b6c7-4785-9e05-72a0fa3ec4ce,-inf
11,def07c19-b972-4eff-8bfe-30b1f24995b4,-inf
11,6d859645-1555-4872-8ced-a03e9fb12d34,-inf
11,1d780084-3f44-4280-8b07-ab5c801786a4,-inf
11,91001a6f-ebdf-4ed7-9380-c26eb571e1b3,-0.04577907967549231
12,5f88eac5-333c-4994-8bb7-cc8439f078ef,-0.045182948882333804
12,9ae7b500-b428-42f5-941a-694f41e8a29b,-0.03581877478769545
12,938edf63-902d-441d-9491-ac8de62414e2,-0.027708914416219838
12,f7fe7a6c-502f-4738-be46-a9c07bb68640,-0.05017904333713576
12,b6e99493-f66b-4fee-8b52-7d519e34b717,-0.008591825843706867
12,c25a4dd5-d84a-44e5-a610-81d306468b10,-0.05663334059798672
12,4308bf0f-2f72-43e4-89a4-bd86846678db,-0.013151581326048052
12,32ca86e1-9c79-408f-ae8d-093d22181213,-0.019134763073202186
12,268786f5-d900-4466-b49a-05e30e7a17c6,-0.04205606782640735
12,f273a886-01e5-43c5-86bd-b24a45893d96,-inf
12,c808f444-026a-414e-8ac6-64c46ee6c12d,-0.10212441122931978
12,e2ead711-e541-40f7-8981-146ff3de8c2d,-inf
13,9bfb3a70-538b-4b59-a05e-4cc2f240e72b,-0.07221050362476336
13,2999084d-d297-4007-babc-d8ec097a6307,-0.02485945089961455
13,30faa3bc-fdf5-41c9-a3e9-a05a07db5bef,-0.0321025685851732
